"stock_code","cb_all","label_all","category","title1","date","news","urls","number","stand","news_num","업종.x","year","매출액","자산총계","영업이익률","부채비율","EPS","buildingyear","Psell","amount","low","recovery","recovery_day","low_day","Pratio","low_day2","recovery_day2"
5870,"휴니드테크놀러지스",1635,"미국이슈","북미 정상회담 재추진에 방산株 약세","2018-05-28","【서울=뉴시스】김형섭 기자 = 문재인 대통령과 김정은 북한 국무위원장이 2차 남북 정상회담을 갖고, 도널드 트럼프 미국 대통령도 북미 정상회담 재추진 의사를 밝히면서 28일 방위산업 관련주들이 장 초반 약세다.이날 오전 9시14분 현재 코스닥 시장에서 빅텍(065450)은 전 거래일보다 11.52%(420원) 내린 3225원에 거래되고 있다.유가증권시장에서는 한화에어로스페이스(012450)가 3.15%(900원) 하락한 2만7700원에, 한국항공우주(047810)가 3.03%(1350원) 내린 4만3150원에 거래 중이다.또 LIG넥스원(079550)이 2.76%(1250원) 떨어진 4만4100원을, 휴니드(005870)가 2.32%(300원) 하락한 1만2650원을 가리키고 있다.문 대통령과 김 위원장은 지난 26일 오후 3시부터 5시까지 2시간 동안 판문점 북측 지역인 통일각에서 두 번째 남북 정상회담을 갖고 북미 정상회담의 성공과 4·27 판문점 선언의 조속한 이행의 필요성을 재확인했다.트럼프 대통령도 26일(현지시간) 베네수엘라의 미국인 석방을 환영하기 위해 백악관에서 열린 행사 중 기자들에게 예정된 대로 다음달 12일 싱가포르에서 북미 정상회담을 개최하기 위한 논의를 잘 진행하고 있다고 밝혔다.ephites","https://finance.naver.com/news/market_special_read.nhn?article_id=0008618550&office_id=003&type=title&keyword=",3344,1,1,"통신 및 방송 장비 제조업",2018,1809,1578,10.02,37.6,1149,1968,-250,216913,"2018-06-07","2018-06-08","8","7",-0.02,"3-8","1-8"
5880,"대한해운",11485,"지분율감소","대한해운, SM상선 지분율 감소 우려…급락","2017-11-06","[이데일리 이명철 기자] 대한해운(005880)이 SM상선 지분율 감소에 따른 성장성 우려로 하락세다.6일 오전 9시10분 현재 대한해운 주가는 전거래일대비 7.64% 내린 2만9000원을 기록 중이다. SM상선이 우방건설산업에 흡수합병되면서 지분율이 하락하게 됐다는 소식이 영향을 미치는 것으로 풀이된다.회사는 지난 3일 종속회사인 SM상선이 우방건설산업에 흡수 합병된다고 공시했다. 합병 후 대한해운의 SM상선 지분율은 26.0%에서 7.4%로 줄어들게 된다. 내년부터 SM상선 부문의 연결 실적도 제외된다. 하준영 하이투자증권 연구원은 “빠른 성장이 예상되는 SM상선 지분율이 감소해 지배주주 순이익 증가율이 합병 이전보다 낮아질 것”이라며 “합병 전 예상됐던 내년 SM상선의 지배주주순이익 기여분은 약 187억원이었으나 합병 후 48억원으로 줄어들 것”이라고 진단했다.이명철 (twomc","https://finance.naver.com/news/market_special_read.nhn?article_id=0003963295&office_id=018&type=title&keyword=",870,1,2,"해상 운송업",2017,5403,22045,8.16,252.14,1220,1968,3800,2244083,"2017-11-16","infinity","infinity","8",0.124590163934426,"3-8","infinity"
5880,"대한해운",6118,"재무부담","""대한해운, 주택분양사업 진출에 따른 주가 하락은 과도""","2018-03-09","한국투자증권은 9일 대한해운에 대해 주택분양사업 진출 결정에 따른 주가 하락이 과도하다며 투자의견 매수, 목표주가 3만9000원을 유지했다.대한해운은 청주 오송바이오폴리스 지구에서 주택 분양사업을 시행하기로 결정했다. 시공사로는 SM그룹 계열사인 동아건설산업과 우방이 참여한다. 총 970가구 민간임대주택 아파트로 2020년에 입주할 예정이다. 4년간 전·월세 선택 거주 후 입주자에게 분양우선권이 부여되는 방식이다.대한해운은 지난 2014년 12월 택지를 낙찰받았고 취득비용으로 453억원을 이미 납부했다. 수분양자에 대한 채무 1100억원은 동아건설산업, 우방과 함께 연대 보증을 제공하게 된다. 전날 대한해운 주가는 6.6% 하락했다. 팬오션이 3.2% 오른 것과 대조적이다. 한국투자증권은 대한해운이 2014년에도 김포 지역의 아파트 분양에 그룹 계열사인 티케이케미칼과 시행사로 공동참여해 분양수익 65억원을 기록한 바 있다고 밝혔다. 또 벌크선 수급개선에 따른 운임 상승을 감안하면 주가 조정은 과도하다고 분석했다.최고운 한국투자증권 연구원은 ""미분양 리스크를 미리 걱정하는 것은 과도한 우려""라면서 ""비관련사업 리스크가 그룹 디스카운트로 확대될 가능성은 우려스럽다""라고 말했다.이어 ""외부 노이즈에 민감한 투자심리, 이에 따라 높아진 주가 변동성은 향후 풀어야 할 숙제""라고 덧붙였다.[디지털뉴스국 고득관 기자]","https://finance.naver.com/news/market_special_read.nhn?article_id=0004112421&office_id=009&type=title&keyword=",872,1,1,"해상 운송업",2018,15607,25868,6.46,276.08,5186,1968,1450,856611,"2018-03-15","infinity","infinity","4",0.0480132450331126,"3-8","infinity"
5930,"삼성전자",17998,"북한이슈","삼성그룹주 일제히 하락세..`폭발물 소동` 때문인가","2017-04-14","[이데일리 최정희 기자] 삼성 서초사옥에 폭발물 소동이 벌어진 가운데 삼성그룹주가 일제히 하락하고 있다. 조사 결과 폭발물은 없었던 것으로 나타났으나 북한 핵실험 우려가 커진 상황이라 투자 심리를 악화시키는 촉매가 됐다. 14일 마켓포인트에 따르면 대장주 삼성전자(005930)는 이날 오후 3시 7분 현재 전 거래일보다 1.32% 하락중이다. 삼성물산(028260)은 1.20%, 삼성생명(032830)은 0.92% 하락하고 있다. 삼성전기(009150)는 2.60%, 삼성카드(029780)는 1.53%, 삼성증권(016360)은 1.50%, 삼성엔지니어링(028050)은 0.38% 내리고 있다. 삼성중공업(010140)은 보합권에서 거래되고 있다. 태양절을 앞두고 북한의 핵실험 가능성이 제기된 가운데 삼성 서초사옥 폭발물 의심 소동이 투자심리를 악화시킨 원인으로 풀이된다. 삼성그룹주 외에도 시가총액 상위 종목들이 대거 하락세를 기록하고 있다. 한국전력(015760), NAVER(035420), 신한지주(055550), SK(034730)텔케롬, SK(034730) 등이 1~2%대 하락중이다.최정희 (jhid0201","https://finance.naver.com/news/market_special_read.nhn?article_id=0003799854&office_id=018&type=title&keyword=",1385,1,9,"통신 및 방송 장비 제조업",2017,2018667,2621743,14.49,35.87,2735,1969,140,109257,"2017-04-20","2017-04-25","7","4",0.00332068311195446,"3-8","1-8"
5930,"삼성전자",17586,"호황무산","삼성물산, 三電 지주사 전환 불가 방침에 급락","2017-04-27","[이데일리 최정희 기자] 삼성물산(028260)이 삼성전자(005930) 지주회사 전환 불가 방침에 급락하고 있다. 27일 마켓포인트에 따르면 삼성물산은 이날 오전 9시 6분 현재 전 거래일보다 3.80% 하락한 12만6500원에 거래되고 있다. 이날 삼성전자는 지주회사 전환 여부에 대해 “회사성장 및 주주가치 최적화를 위한 방안의 일환으로 지주회사 전환 여부를 검토했으나 외부 전문가들과 검토한 결과 법률, 재무, 세제 등 다양한 측면에서 지주사 전환이 사업경쟁력 강화에 별다른 도음이 되지 않고 전환 과정에서 여러 이슈들이 존재한다는 분석이 나왔다”며 “이사회와 경영진은 지주회사로 전환하지 않는 것이 타당하다”고 공시했다. 이에 따라 지주회사 전환의 최대 수혜주로 알려진 삼성물산(028260) 주가가 급락하고 있다.최정희 (jhid0201","https://finance.naver.com/news/market_special_read.nhn?article_id=0003810551&office_id=018&type=title&keyword=",1394,1,4,"통신 및 방송 장비 제조업",2017,2018667,2621743,14.49,35.87,2735,1969,-1140,460645,"increase","increase","increase","increase",-0.0266978922716628,"increase","increase"
5930,"삼성전자",17307,"외국인순매도","삼성전자 2%↓…10거래일 만에 하락 전환","2017-05-10","[아시아경제 박나영 기자]삼성전자가 외인 매도세에 2% 넘게 하락하고 있다. 10일 오후 2시 53분 현재 삼성전자는 전 거래일 대비 5만1000원(2.17%) 떨어진 230만원에 거래 중이다. 이 시각 매도창구 상위에 HSBC, 모건스탠리, UBS 등의 증권사가 이름을 올리고 있다. 전 거래일까지 9거래일 연속 상승한 데 따른 '숨고르기'로 분석된다. 삼성전자는 지난 8일 사상 최고치인 235만1000원에 거래를 마감했다.  증권가에서는 삼성전자 2분기 실적이 역대 최고치를 달성할 것으로 보고 목표주가를 최대 290만원까지 올려잡고 있다. 박나영 기자 bohena","https://finance.naver.com/news/market_special_read.nhn?article_id=0003990850&office_id=277&type=title&keyword=",1398,1,5,"통신 및 방송 장비 제조업",2017,2018667,2621743,14.49,35.87,2735,1969,560,468219,"2017-05-19","2017-06-20","25","7",0.0121317157712305,"3-8","16-30"
5930,"삼성전자",17018,"기타","삼성전자, 이틀째 하락…230만원 하회","2017-05-18","삼성전자가 이틀째 하락해 장중 230만원선 아래로 내려갔다.18일 오전 9시4분 현재 유가증권시장에서 삼성전자는 전날보다 2만9000원(1.25%) 내린 128만8000원에 거래되고 있다.삼성전자 주가는 지난 8일 230만원선을 돌파한 후 등락을 이어가며 안착을 시도하고 있다. 증권가에서는 올 2분기에도 삼성전자가 실적 개선세를 이어갈 것으로 전망하고 있다.권성률 동부증권 연구원은 ""다소 낮아진 원·달러 환율을 제외하면 정보기술(IT)주 실적에 부정적인 영향을 미칠만한 요인은 없다""며 ""D램 메모리, 낸드플래시 평균 판매가격(ASP) 등을 고려하면 반도체 부문 실적 개선 폭이 큰 만큼, 삼성전자의 영업이익 신기록이 이어질 전망""이라고 분석했다.오정민 한경닷컴 기자 blooming","https://finance.naver.com/news/market_special_read.nhn?article_id=0003770034&office_id=015&type=title&keyword=",1403,1,3,"통신 및 방송 장비 제조업",2017,2018667,2621743,14.49,35.87,2735,1969,-200,223207,"2017-05-30","2017-06-19","18","8",-0.00437254044599913,"3-8","16-30"
5930,"삼성전자",16635,"외국인순매도","삼성전자, '외인 팔자'에 2%↓","2017-05-30","[아시아경제 박나영 기자]삼성전자가 외국인 매도세에 2% 넘게 하락하고 있다. 20일 삼성전자는 전 거래일 대비 5만5000원(2.41%) 하락한 222만6000원에 거래 중이다. 2거래일째 이어지는 하락세다. 이 시각 매도창구 상위에 씨티그룹, 메릴린치 등 외국계 증권사가 이름을 올리고 있다. 이달 들어 230만원을 넘어서는 등 가파른 상승세를 보인 데 따른 차익실현 매물로 풀이된다. 박나영 기자 bohena","https://finance.naver.com/news/market_special_read.nhn?article_id=0004004148&office_id=277&type=title&keyword=",1406,1,1,"통신 및 방송 장비 제조업",2017,2018667,2621743,14.49,35.87,2735,1969,880,248672,"increase","increase","increase","increase",0.0193321616871705,"increase","increase"
5930,"삼성전자",16004,"고점논란","삼성전자, 최고가 경신 후 숨고르기…사흘만에 하락","2017-06-21","대장주 삼성전자가 지난 20일 사상 최고가를 경신한 후 쉬어가는 흐름을 나타내고 있다. 21일 오전 9시3분 현재 유가증권시장에서 삼성전자는 전날보다 1만9000원(0.79%) 내린 238만8000원에 거래되고 있다. 거래일 기준 사흘 만에 약세로 돌아섰다.모건스탠리, CS증권 등 외국계 증권사 창구를 통해 매수세와 매도세가 출회되고 있다.삼성전자는 전날 240원을 돌파해 사상 최고가를 한 달여만에 경신했다.오정민 한경닷컴 기자 blooming","https://finance.naver.com/news/market_special_read.nhn?article_id=0003784839&office_id=015&type=title&keyword=",1407,1,1,"통신 및 방송 장비 제조업",2017,2018667,2621743,14.49,35.87,2735,1969,260,199473,"infinity","infinity","infinity","infinity",0.00544616673648932,"infinity","infinity"
5930,"삼성전자",15480,"외국인순매도","삼성전자, 분기사상 최대실적에도 약세…외인 매도","2017-07-07","
삼성전자(005930)가 2분기 사상 최대 실적을 기록하고도 하락세다. 차익실현 매물이 출회되는 것으로 분석된다.7일 오전 9시 32분 현재 삼성전자는 전거래일보다 1만4000원(0.58%) 하락한 238만9000원에 거래 중이다. 도이치증권, UBS, 다이와 등 외국인이 매도 창구 상위에 이름을 올리고 있다.이날 삼성전자는 잠정실적 공시를 통해 2017년 2분기에 60조원의 매출액과 14조원의 영업이익을 기록했다고 밝혔다. 지난해 같은 기간보다 매출액은 17.79%, 영업이익은 71.99% 증가한 것이자 분기 사상 최대 영업이익이다.[전준범 기자 bbeom","https://finance.naver.com/news/market_special_read.nhn?article_id=0000375344&office_id=366&type=title&keyword=",1408,1,5,"통신 및 방송 장비 제조업",2017,2018667,2621743,14.49,35.87,2735,1969,-120,162638,"increase","increase","increase","increase",-0.00251361541684122,"increase","increase"
5930,"삼성전자",14868,"고점논란","SK하이닉스 차익실현 매물 출회에 이틀째 약세","2017-07-26","[이데일리 최정희 기자] SK하이닉스(000660)가 3분기에도 최대 실적을 낼 것이라며 증권가에선 목표주가를 줄줄이 상향 조정하고 있으나 시장에선 이틀째 약세를 보이고 있다. 외국인과 기관을 중심으로 차익매물이 쏟아진 영향이다. 26일 마켓포인트에 따르면 SK하이닉스는 이날 오후 2시 16분경 전 거래일보다 4.40% 하락한 6만7300원에 거래되고 있다. 전 거래일 3.56% 하락한 것을 감안하면 이틀 간 8% 가량이 급락한 것이다. 에프앤가이드에 따르면 SK하이닉스의 3분기 매출과 영업이익 컨센서스는 각각 7조4241억원, 3조3499억원으로 사상 최대 실적이 예고되고 있다. 증권사의 목표주가 또한 9만원까지 상승한 상태다. 그러나 외국인은 이날 637억7300만원 가량을 순매도해 삼성전자(005930)에 이어 가장 많은 물량을 팔아치우고 있다. 기관투자자 역시 192만1900만원을 순매도해 SK하이닉스는 순매도 1위를 기록하고 있다.최정희 (jhid0201","https://finance.naver.com/news/market_special_read.nhn?article_id=0003883520&office_id=018&type=title&keyword=",1413,1,6,"통신 및 방송 장비 제조업",2017,2018667,2621743,14.49,35.87,2735,1969,-240,224496,"2017-08-07","2017-09-14","35","8",-0.00483870967741936,"3-8","infinity"
5930,"삼성전자",14545,"국내증시위기","코스피 급락에 증권주 5% 가량 하락","2017-08-03","[이데일리 최정희 기자] 코스피 지수가 나흘만에 1.75% 가량 급락하면서 증권주 역시 5% 가량 하락하고 있다. 3일 마켓포인트에 따르면 코스피 내 증권주는 이날 오후 2시 7분 현재 전 거래일보다 4.92% 하락 거래중이다. KTB투자증권(030210), NH투자증권(005940)이 각각 6%, 5% 하락 중이다. 메리츠종금증권(008560)도 7% 하락하고 있다. 유진투자증권(001200), 한화투자증권(003530) 등이 5%대 하락하는 등 코스피 내 상장된 증권주가 전부 하락하고 있다. 이날 코스피 지수를 끌어내린 것은 미국의 북한, 러시아 제재 등 정치적 불확실성에 투자심리가 약화되면서 외국인이 삼성전자(005930) 등을 3000억원 가량에 순매도한 영향이다. 여기에 정부의 부동산 규제책 등과 맞물려 건설주를 비롯한 주요 업종이 일제히 하락세를 보이고 있다.최정희 (jhid0201","https://finance.naver.com/news/market_special_read.nhn?article_id=0003889965&office_id=018&type=title&keyword=",1419,1,2,"통신 및 방송 장비 제조업",2017,2018667,2621743,14.49,35.87,2735,1969,1220,310816,"2017-08-11","2017-09-08","25","6",0.0248979591836735,"3-8","16-30"
5930,"삼성전자",14343,"외국인순매도","삼성전자, 외인 '팔자'에 2%↓","2017-08-09","[아시아경제 박나영 기자]삼성전자가 외국인 매도에 하락세다.  9일 오후 1시30분 삼성전자는 전 거래일 대비 5만6000원(2.35%) 내린 233만원에 거래 중이다. 이 시각 매도창구 상위에 CLSA, 골드만삭스 등의 증권사가 이름을 올리고 있다. 현재까지 외국인이 791억원을 순매도한 것으로 잠정 집계됐다. 삼성전자는 전날 하루를 제외하고 지난 3일부터 연일 하락해 이달 초 240만원대 중반이던 주가가 230만원대 초반으로 떨어졌다.  박나영 기자 bohena","https://finance.naver.com/news/market_special_read.nhn?article_id=0004051774&office_id=277&type=title&keyword=",1421,1,2,"통신 및 방송 장비 제조업",2017,2018667,2621743,14.49,35.87,2735,1969,1120,291108,"2017-08-11","2017-09-07","20","2",0.0236286919831224,"1-2","16-30"
5930,"삼성전자",13869,"기타","삼성전자, 갤노트8 공개에도 약세","2017-08-24","[아시아경제 최동현 기자] 삼성전자가 갤럭시노트8 공개에도 약세 흐름을 보이고 있다.24일 오전 9시12분 현재 삼성전자는 전장 대비 1000원(0.04%) 내린 237만3000원에 거래중이다.삼성전자는 지난 23일(현지시간) 미국 뉴욕 파크 애비뉴 아모리에서 갤럭시노트 시리즈 최신작인 '갤럭시 노트8'을 공개했다.최동현 기자 nell","https://finance.naver.com/news/market_special_read.nhn?article_id=0004060793&office_id=277&type=title&keyword=",1423,1,6,"통신 및 방송 장비 제조업",2017,2018667,2621743,14.49,35.87,2735,1969,0,173149,"2017-09-04","2017-09-07","10","7",0,"3-8","8-11"
5930,"삼성전자",13556,"북한이슈","北핵실험 소식에 삼성電·SK하이닉스↓..시총상위株 '약세'","2017-09-04","[이데일리 오희나 기자] 북한의 핵실험으로 한반도 지정학적 리스크가 고조되면서 삼성전자, SK하이닉스 등 시가총액 상위주들이 동반 약세를 보이고 있다. 4일 오전 9시8분 현재 삼성전자(005930)는 전거래일보다 1.42%(3만3000원) 내린 229만1000원에 거래되고 있다. 같은 시간 SK하이닉스(000660)는 전장보다 1.75%(1200원) 내린 6만7500원, 현대차(005380)는 전거래일보다 1.40%(2000원) 내린 14만1000원을 기록중이다.  이외에 POSCO(005490) 한국전력(015760) LG화학(051910) 신한지주(055550) NAVER(035420) SK텔레콤(017670) 등 시가총액 상위종목 대부분이 1~3%대 하락세를 보이고 있다. 전날 북한은 전날 6차 핵실험을 감행했다. 기상청은 3일 낮 12시 29분 북한 함경북도 길주군 풍계리 지역에는 규모 5.7로 추정되는 인공지진이 발생했다고 밝혔다. 이는 지난해 5월 북한의 5차 핵실험으로 발생한 인공지진보다 5~6배 큰 수준이다. 김병연 NH투자증권 수석연구원은 “북핵리스크가 레드라인에 가까워졌다는 점에서 과거와는 다를 수도 있다”며 “결국 미국과 중국의 대응이 중요한데 미국과 중국은 9월과 10월 자국내 중요 이벤트가 존재한다는 점에서 극단적인 선택을 할 가능성은 적다”고 전망했다이어 “과거와 유사한 경우라면 코스피는 단기 변동성 확대에 그칠 것”이라고 판단했다.오희나 (hnoh","https://finance.naver.com/news/market_special_read.nhn?article_id=0003914572&office_id=018&type=title&keyword=",1429,1,1,"통신 및 방송 장비 제조업",2017,2018667,2621743,14.49,35.87,2735,1969,-260,158870,"increase","increase","increase","increase",-0.00567933595456531,"increase","increase"
5930,"삼성전자",12642,"고점논란","삼성전자, 낙폭 확대에 260만원선 내줘","2017-09-26","[아시아경제 권성회 기자] 삼성전자가 오후 들어 낙폭을 확대하면서 260만원선 밑으로 내려앉았다.26일 오후 1시36분 현재 삼성전자는 전일 대비 8만9000원(3.32%) 하락한 259만2000원을 기록 중이다. 장중 한때 258만5000원까지 내리기도 했다.삼성전자가 장중 260만원 밑으로 하락한 것은 지난 20일 이후 5거래일 만이다.매도창구 상위에는 모건스탠리, 메릴린치증권 등 외국계 증권사와 신한금융투자, 한국투자증권 등 국내 증권사가 올라 있다.삼성전자는 최근 상승세에 따른 차익 실현욕구와 재고조된 북한과 미국 간의 갈등에 따른 지정학적 리스크 부각으로 하락세를 보이고 있다.권성회 기자 street","https://finance.naver.com/news/market_special_read.nhn?article_id=0004084144&office_id=277&type=title&keyword=",1430,1,1,"통신 및 방송 장비 제조업",2017,2018667,2621743,14.49,35.87,2735,1969,1360,341144,"2017-09-28","2017-10-11","5","2",0.025650697849868,"1-2","1-8"
5930,"삼성전자",12304,"고점논란","삼성전자, 실적발표 이후 차익실현 매물 등장…↓","2017-10-13","[아시아경제 권성회 기자] 분기별 역대 최대 실적을 기록한 삼성전자가 장 초반 약세를 나타내고 있다.13일 오전 9시16분 현재 삼성전자는 전일 대비 1.02%(2만8000원) 하락한 271만2000원에 거래 중이다. 장 초반에는 268만9000원까지 내리면서 270만원선을 내주기도 했다.삼성전자는 이날 오전 3분기 잠정 영업이익이 전년 동기 대비 178.85% 증가한 14조5000억원을 달성했다고 공시했다. 이는 삼성전자 사상 최대 실적이다. 매출액은 29.65% 늘어난 62조원으로 잠정 집계됐다.다만 실적 확인 이후 최근 급등에 따른 차익 실현 매물이 등장하면서 주가는 조정을 받고 있는 것으로 보인다.전날 삼성전자는 장중 275만8000원까지 상승하면서 역대 최고가를 기록했었다.권성회 기자 street","https://finance.naver.com/news/market_special_read.nhn?article_id=0004093105&office_id=277&type=title&keyword=",1431,1,3,"통신 및 방송 장비 제조업",2017,2018667,2621743,14.49,35.87,2735,1969,540,252033,"infinity","infinity","infinity","infinity",0.0099009900990099,"infinity","infinity"
5930,"삼성전자",11707,"기타","삼성전자, 최대 실적+주주환원책에도 '하락'","2017-10-31","삼성전자가 하락세를 나타내고 있다.31일 오전 9시 4분 현재 삼성전자는 전날보다 2만6000원(0.96%) 내린 267만6000원에 거래되고 있다. 사흘만에 하락이다.삼성전자는 올 3분기 연결기준 영업이익이 14조5300억원으로 전년 동기 대비 179.48% 증가했다고 이날 공시했다. 같은 기간 매출은 62조500억원으로 29.77% 늘었다.이 회사는 이와 함께 다음달 1일부터 내년 1월31일까지 보통주 71만2000주와 우선주 17만8000주를 장내에서 매수해 소각하기로 했다. 분기배당도 주당 7000원을 결정했다.향후 주주환원정책도 발표했다. 삼성전자는 '18~'20년 총 배당을 올해보다 100% 상향할 계획이라고 밝혔다. 올해 총 배당은 지난해보다 20% 확대한다.정형석 한경닷컴 기자 chs8790","https://finance.naver.com/news/market_special_read.nhn?article_id=0003843651&office_id=015&type=title&keyword=",1434,1,2,"통신 및 방송 장비 제조업",2017,2018667,2621743,14.49,35.87,2735,1969,-1020,267631,"increase","increase","increase","increase",-0.0188679245283019,"increase","increase"
5930,"삼성전자",10627,"투자의견하향","삼성전자, 모건스탠리 투자의견·목표가 하향조정에 하락…270만원 하회","2017-11-27","
삼성전자(005930)가 외국인 매도세가 몰리며 낙폭을 키우고 있다. 외국계 증권사 모건스탠리가 투자의견과 목표주가를 하향조정한 결과로 풀이된다.27일 오전 10시 40분 현재 삼성전자는 전날보다 3.64%(10만1000원) 내린 267만2000원에 거래되고 있다.26일(현지시각) 모건스탠리는 “메모리 사이클이 상승기에 접어들며 삼성전자의 주가가 2016년 1월 이후로 120% 가량 올랐다”며 “이제 2018년에 접어드는 지금 잠시 쉬어갈 때가 됐다”고 전했다.모건스탠리는 투자의견을 기존 ‘비중확대(overweight)’에서 ‘중립(equal-weight)’으로, 목표주가는 290만원에서 280만원으로 하향조정했다.[박현익 기자 beepark","https://finance.naver.com/news/market_special_read.nhn?article_id=0000390523&office_id=366&type=title&keyword=",1436,1,11,"통신 및 방송 장비 제조업",2017,2018667,2621743,14.49,35.87,2735,1969,2720,362578,"2017-12-06","infinity","infinity","7",0.0491329479768786,"3-8","infinity"
5930,"삼성전자",9915,"외국인순매도","삼성전자, 외국인 매도에 하락전환","2017-12-15","[아시아경제 박나영 기자]15일 상승 출발했던 삼성전자가 하락 전환했다. 이날 오전 10시25분 현재 삼성전자는 전 거래일 대비 2000원(0.08%) 하락한 255만1000원에 거래 중이다. 개장 직후 0.7~0.8%의 상승률을 보였으나 오전 10시20분 전후로 하락 전환했다. 이 시각 매도창구 상위에 CLSA, 모건스탠리 등의 증권사가 이름을 올리고 있다. 박나영 기자 bohena","https://finance.naver.com/news/market_special_read.nhn?article_id=0004140724&office_id=277&type=title&keyword=",1447,1,1,"통신 및 방송 장비 제조업",2017,2018667,2621743,14.49,35.87,2735,1969,620,298571,"2017-12-26","2018-01-03","10","6",0.0120999219359875,"3-8","8-11"
5930,"삼성전자",9706,"실적부진","삼성전자, 실적 기대치 하회 전망에 3%대 하락…240만원대","2017-12-21","[아시아경제 박미주 기자] 삼성전자가 4분기 실적이 기대치에 못 미칠 것이라는 전망에 3%대 하락세다. 240만원선까지 떨어졌다.21일 오후 1시50분 현재 삼성전자는 전날보다 8만5000원(3.34%) 내린 245만9000원에 거래되고 있다.외국인은 1만6000주가량의 순매도세를 보이고 있다.전날 하이투자증권은 삼성전자 목표주가를 기존 340만원으로 330만원으로 내렸다. 올해 4분기 영업이익은 15조7000억원으로 시장 예상치 16조5000억원을 밑돌 것으로 봤다. 내년 1분기에는 매출액이 63조3000억원, 영업이익은 14조9000억원으로 4분기보다 실적이 더 줄어들 것으로 전망했다.송명섭 하이투자증권 연구원은 ""원달러 환율 하락과 성과급 지급, 스마트폰 출하 부진 등으로 4분기 실적이 시장 전망치를 하회할 것""이라며 ""내년 1분기에는 반도체 이익은 유지되나 원달러 환율이 추가적으로 하락할 수 있고 아이폰 출하ㆍ판매 부진으로 애플의 반도체, 디스플레이 구매량이 당초 예상치를 하회할 수 있는 점이 실적에 부정적 영향을 미칠 가능성이 있다""고 내다봤다.반도체 업황 관련 송 연구원은 ""삼성전자가 발표할 내년 디램 투자 규모와 시기가 관심사항으로 평택 라인 2층 2차 투자의 방향에 따라 이미 둔화가 시작된 것으로 보이는 낸드 업황과 아직은 양호한 디램 업황의 둔화 시기 및 강도가 영향을 받을 전망""이라고 짚었다.박미주 기자 beyond","https://finance.naver.com/news/market_special_read.nhn?article_id=0004144763&office_id=277&type=title&keyword=",1448,1,5,"통신 및 방송 장비 제조업",2017,2018667,2621743,14.49,35.87,2735,1969,1860,312486,"2017-12-26","2017-12-28","4","2",0.0364705882352941,"1-2","1-8"
5930,"삼성전자",9288,"투자의견하향","낸드플래시 공급 과잉 우려...약세 보이는 반도체주","2018-01-08","반도체주들이 8일 상승장임에도 불구하고 약세를 보이고 있다. 유가증권시장의 대장주 삼성전자(005930)는 8일 오전 10시 37분 현재 전날보다 0.15% 내린 260만2000원에 거래되고 있다. SK하이닉스(000660)는 전날보다 1.39% 하락한 7만8200원에 거래 중이다. 현재 코스피지수는 전날 대비 0.3%가량 오름세다.반도체주 약세는 경기 전망에 대한 비관론이 지속적으로 제기되고 있기 때문으로 보인다. 주요 반도체 제조업체들이 한꺼번에 낸드플래시 생산을 확대하려는 분위기라 가격 하락이 예상된다는 분석이 나오고 있다.반도체 시장조사업체 D램익스체인지에 따르면 도시바·삼성·인텔·양쯔메모리테크놀로지코퍼레이션(YMTC) 등 주요 낸드플래시 제조업체들이 일제히 반도체 생산 설비를 추가해 낸드플래시 생산을 크게 확대할 계획이다.D램익스체인지는 “생산능력 증대가 반도체 산업에 점차 영향을 미쳐 2019년 이후에는 낸드플래시 시장에 공급 초과가 나타날 수 있다”고 전망했다.시장조사업체 가트너의 앤드루 노트 부사장은 “중국이 메모리 반도체 생산 능력을 확충하면서 낸드플래시는 올해, D램은 내년부터 가격이 하락하기 시작할 것”이라면서 “삼성전자의 매출 부진을 예상한다”고 내다봤다.[이민아 기자 wow","https://finance.naver.com/news/market_special_read.nhn?article_id=0000395208&office_id=366&type=title&keyword=",1453,1,12,"통신 및 방송 장비 제조업",2018,2395754,3017521,22.39,40.68,5421,1969,380,167673,"2018-01-12","infinity","infinity","4",0.00725190839694656,"3-8","infinity"
5930,"삼성전자",8907,"외국인순매도","삼성전자, 외국인 매도세에 이틀째 '하락'","2018-01-22","[이데일리 오희나 기자] 삼성전자가 외국인 매도세에 하락세를 보이고 있다. 22일 오전 9시19분 현재 삼성전자(005930)는 전거래일보다 4만9000원(1.99%)내린 241만7000원에 거래되고 있다. 이틀 연속 하락세를 보이고 있다. 원화 강세에 따른 수익성 악화 우려감에 차익실현 매물이 나오고 있는 것으로 풀이된다.  SG증권, CLSA증권 등 외국계 창구를 통해 1800여주 이상 매물이 출회되고 있다.오희나 (hnoh","https://finance.naver.com/news/market_special_read.nhn?article_id=0004016187&office_id=018&type=title&keyword=",1465,1,3,"통신 및 방송 장비 제조업",2018,2395754,3017521,22.39,40.68,5421,1969,400,250418,"infinity","infinity","infinity","infinity",0.00822368421052632,"infinity","infinity"
